NAME X Y KRON_FLUX REDSHIFT QUALITY
0 1578.61 4.93 40.08 0.2391 1.41
1 1082.28 8.82 13.52 0.215 1.98
2 1385.73 21.51 78.92 0.225 1.32
3 1367.07 30.83 29.28 0.227 1.49
4 1928.23 28.3 6.63 0.2442 1.6
5 578.48 31.81 18.9 0.2244 2.44
6 1217.73 33.7 15.21 0.215 1.53
7 324.87 40.26 10.43 0.2372 1.67
8 134.47 44.82 29.17 0.2232 1.36
9 784.25 43.47 11.81 0.2351 1.75
10 830.05 50.72 106.93 0.2289 1.23
11 192.31 48.44 24.33 0.215 1.49
12 790.94 50.97 38.34 0.2302 1.4
13 1502.23 55.08 188.26 0.2404 1.19
14 758.49 57.48 11.0 0.2417 2.36
15 202.51 61.38 36.49 0.2223 1.71
16 102.63 66.11 29.82 0.224 1.78
17 369.0 64.81 10.19 0.2333 1.77
18 361.84 68.27 5.4 0.2154 1.82
19 242.62 85.6 61.51 0.2282 1.5
20 657.4 89.94 19.07 0.215 1.52
21 993.42 89.75 5.06 0.2365 2.65
22 966.35 93.19 26.96 0.2286 1.47
23 1664.57 91.74 6.03 0.238 3.08
24 1225.14 98.05 41.7 0.2241 1.4
25 1314.54 115.83 24.66 0.2386 1.64
26 1238.15 118.83 107.38 0.238 1.31
27 982.55 143.95 4998.09 0.2282 1.2
28 1938.55 124.84 6.81 0.2327 3.3
29 1236.73 135.02 7.41 0.2286 1.59
30 442.45 138.99 5.05 0.215 2.55
31 1699.99 150.53 21.52 0.2342 1.87
32 1044.17 156.9 7.13 0.2287 3.26
33 1673.07 161.94 61.65 0.2286 1.31
34 1393.39 170.38 25.85 0.2385 1.51
35 1131.34 169.99 6.78 0.215 1.61
36 136.96 183.18 25.82 0.2241 1.56
37 832.25 193.54 20.08 0.215 1.32
38 941.79 197.92 83.34 0.215 1.2
39 974.42 194.4 11.21 0.2229 2.31
40 650.29 203.54 54.11 0.2346 1.23
41 1012.79 205.2 4.72 0.2222 6.91
42 785.48 209.89 8.12 0.2386 1.41
43 43.62 214.97 16.03 0.2305 1.47
44 1065.99 221.49 7.65 0.2342 1.6
45 688.19 227.09 10.66 0.224 1.61
46 1723.74 231.59 43.45 0.2246 1.35
47 1223.13 242.15 6.87 0.2258 1.4
48 1268.08 247.44 12.85 0.231 1.44
49 398.09 255.48 214.94 0.215 1.21
50 480.55 259.78 198.44 0.2275 1.24
51 1885.74 256.44 13.46 0.2327 1.74
52 1254.46 265.05 46.1 0.2154 1.25
53 244.97 263.93 14.05 0.215 1.56
54 1181.66 267.49 81.25 0.218 1.22
55 1854.91 282.74 915.78 0.2287 1.22
56 1193.12 276.57 9.79 0.2371 1.36
57 411.21 277.98 18.52 0.215 1.56
58 1037.17 283.6 48.37 0.2456 4.14
59 482.54 285.25 27.82 0.2241 1.53
60 1106.1 286.65 100.86 0.2296 1.22
61 332.77 287.21 16.14 0.227 1.69
62 1089.58 290.14 9.35 0.2286 1.81
63 298.73 294.3 4.55 0.2235 1.66
64 398.15 297.73 6.94 0.2286 1.68
65 76.11 303.3 21.55 0.2257 1.77
