NAME X Y KRON_FLUX REDSHIFT QUALITY
23 1664.57 91.74 6.03 0.238 3.08
28 1938.55 124.84 6.81 0.2327 3.3
32 1044.17 156.9 7.13 0.2287 3.26
41 1012.79 205.2 4.72 0.2222 6.91
58 1037.17 283.6 48.37 0.2456 4.14
70 824.55 311.6 18.71 0.2305 11.57
74 19.21 325.09 22.61 0.2261 11.23
75 1146.85 325.68 7.41 0.2275 3.01
104 377.85 439.7 8.46 0.2269 6.59
105 601.97 439.97 9.23 0.229 3.12
113 1046.49 460.98 5.19 0.2255 6.31
139 1111.95 529.05 27.4 0.2458 3.11
150 699.19 558.02 10.41 0.2458 7.66
161 1908.49 599.79 68.46 0.2269 3.31
163 1202.92 609.83 22.14 0.2455 3.96
175 407.44 639.75 16.43 0.2293 4.46
176 1308.99 643.61 12.66 0.2363 7.66
202 871.67 712.42 31.56 0.2456 6.37
245 1341.24 826.79 6.09 0.2255 5.29
269 1289.43 907.75 7.94 0.2215 3.65
330 304.7 1047.15 9.01 0.215 3.01
355 502.74 1095.35 8.1 0.2249 3.1
402 1437.18 1177.19 7.4 0.2273 5.95
448 927.3 1267.0 214.63 0.2304 3.47
465 1782.45 1286.85 12.69 0.2249 3.15
474 1325.18 1300.74 52.26 0.2243 6.79
483 977.78 1311.08 16.1 0.2287 5.29
496 1703.9 1339.08 17.33 0.2241 3.35
513 1902.83 1370.36 18.64 0.2241 3.23
517 1429.75 1387.41 7.97 0.2346 4.19
519 1072.96 1391.06 10.35 0.2314 3.52
520 1058.66 1393.89 31.66 0.2319 8.45
529 1717.54 1405.66 19.64 0.2406 11.21
532 409.95 1414.51 12.19 0.2225 3.58
540 1525.7 1429.56 16.96 0.2412 7.94
545 1529.99 1437.71 5.98 0.2417 6.18
558 367.32 1471.37 15.11 0.225 3.36
568 1267.18 1485.22 32.95 0.2385 10.33
574 1451.82 1495.03 24.82 0.2397 6.66
583 336.68 1507.61 7.77 0.2369 6.33
597 1325.9 1546.42 59.36 0.2371 7.41
602 1049.48 1572.38 20.19 0.2429 4.65
627 351.89 1641.55 28.84 0.2351 3.16
629 870.02 1646.08 19.92 0.2389 4.25
630 354.44 1647.71 13.84 0.2397 3.15
633 862.73 1656.95 23.29 0.2383 4.33
640 850.19 1674.75 11.34 0.2382 6.76
646 1226.09 1692.83 12.23 0.2388 5.42
649 259.48 1703.99 5.26 0.2327 3.41
655 468.46 1725.17 11.74 0.2365 3.57
664 1325.98 1735.6 10.32 0.2235 10.27
677 1436.79 1790.33 17.03 0.2275 7.06
680 1289.99 1809.45 62.93 0.2382 6.45
685 1360.13 1828.05 14.01 0.2228 9.34
691 969.36 1843.99 21.44 0.2362 6.18
702 548.69 1900.8 13.84 0.2241 4.13
709 1480.19 1913.21 24.85 0.2238 5.84
